,geometry,centroid,centroid_x,centroid_y,zone_label
184,"POLYGON ((-74.00296675029637 40.6676326309094, -73.99291181390271 40.667545361767026, -73.99279660695068 40.67520161702301, -74.00285269312288 40.67528890960558, -74.00296675029637 40.6676326309094))",POINT (-73.99788196644869 40.67141720280527),-73.99788196644869,40.67141720280527,22
185,"POLYGON ((-74.00285269312288 40.67528890960558, -73.99279660695068 40.67520161702301, -73.99268135571864 40.68285786182345, -74.00273859211117 40.68294517785149, -74.00285269312288 40.67528890960558))",POINT (-73.99776731235582 40.6790734645745),-73.99776731235582,40.6790734645745,23
186,"POLYGON ((-74.00273859211117 40.68294517785149, -73.99268135571864 40.68285786182345, -73.99256606018739 40.690514096167824, -74.00262444724217 40.690601435646634, -74.00273859211117 40.68294517785149))",POINT (-73.99765261419425 40.68672971589056),-73.99765261419425,40.68672971589056,24
187,"POLYGON ((-74.00262444724217 40.690601435646634, -73.99256606018739 40.690514096167824, -73.99245072033759 40.698170320055574, -74.00251025849677 40.69825768299048, -74.00262444724217 40.690601435646634))",POINT (-73.99753787194483 40.69438595675294),-73.99753787194483,40.69438595675294,25
188,"POLYGON ((-74.00251025849677 40.69825768299048, -73.99245072033759 40.698170320055574, -73.99233533614999 40.70582653348621, -74.00239602585592 40.70591391988249, -74.00251025849677 40.69825768299048))",POINT (-73.99742308558838 40.70204218716111),-73.99742308558838,40.70204218716111,26
189,"POLYGON ((-74.00239602585592 40.70591391988249, -73.99233533614999 40.70582653348621, -73.99221990760525 40.71348273645918, -74.00228174930044 40.713570146322155, -74.00239602585592 40.70591391988249))",POINT (-73.99730825510565 40.70969840711454),-73.99730825510565,40.70969840711454,27
190,"POLYGON ((-74.00228174930044 40.713570146322155, -73.99221990760525 40.71348273645918, -73.99210443468407 40.72113892897395, -74.00216742881126 40.72122636230894, -74.00228174930044 40.713570146322155))",POINT (-73.99719338047746 40.717354616612695),-73.99719338047746,40.717354616612695,28
191,"POLYGON ((-74.00216742881126 40.72122636230894, -73.99210443468407 40.72113892897395, -73.99198891736712 40.72879511103001, -74.0020530643692 40.72888256784233, -74.00216742881126 40.72122636230894))",POINT (-73.99707846168454 40.72501081565506),-73.99707846168454,40.72501081565506,29
192,"POLYGON ((-74.0020530643692 40.72888256784233, -73.99198891736712 40.72879511103001, -73.99187335563506 40.73645128262683, -74.00193865595516 40.73653876292178, -74.0020530643692 40.72888256784233))",POINT (-73.99696349870774 40.73266700424112),-73.99696349870774,40.73266700424112,30
193,"POLYGON ((-74.00193865595516 40.73653876292178, -73.99187335563506 40.73645128262683, -73.99175774946855 40.74410744376388, -74.00182420354994 40.744194947546795, -74.00193865595516 40.73653876292178))",POINT (-73.99684849152771 40.74032318237033),-73.99684849152771,40.74032318237033,31
194,"POLYGON ((-74.00182420354994 40.744194947546795, -73.99175774946855 40.74410744376388, -73.99164209884817 40.75176359444064, -74.00170970713438 40.75185112171683, -74.00182420354994 40.744194947546795))",POINT (-73.99673344012524 40.74797935004217),-73.99673344012524,40.74797935004217,32
195,"POLYGON ((-74.00170970713438 40.75185112171683, -73.99164209884817 40.75176359444064, -73.9915264037546 40.7594197346566, -74.0015951666893 40.75950728543139, -74.00170970713438 40.75185112171683))",POINT (-73.99661834448104 40.75563550725614),-73.99661834448104,40.75563550725614,33
196,"POLYGON ((-74.0015951666893 40.75950728543139, -73.9915264037546 40.7594197346566, -73.99141066416844 40.7670758644112, -74.00148058219548 40.767163438689934, -74.0015951666893 40.75950728543139))",POINT (-73.99650320457583 40.7632916540117),-73.99650320457583,40.7632916540117,34
210,"POLYGON ((-73.99337219929602 40.6369202361982, -73.98332190178664 40.636832186269906, -73.98320572376785 40.6444884596889, -73.99325716927146 40.64457653327108, -73.99337219929602 40.6369202361982))",POINT (-73.98828924891708 40.640704426757125),-73.98828924891708,40.640704426757125,35
211,"POLYGON ((-73.99325716927146 40.64457653327108, -73.98320572376785 40.6444884596889, -73.98308950110506 40.65214472264913, -73.99314209504386 40.65223281989053, -73.99325716927146 40.64457653327108))",POINT (-73.98817362268308 40.648360706794584),-73.98817362268308,40.648360706794584,36
212,"POLYGON ((-73.99314209504386 40.65223281989053, -73.98308950110506 40.65214472264913, -73.98297323377884 40.659800975150056, -73.99302697659404 40.65988909605602, -73.99314209504386 40.65223281989053))",POINT (-73.98805795201592 40.65601697637569),-73.98805795201592,40.65601697637569,37
213,"POLYGON ((-73.99302697659404 40.65988909605602, -73.98297323377884 40.659800975150056, -73.98285692176978 40.66745721719116, -73.99291181390271 40.667545361767026, -73.99302697659404 40.65988909605602))",POINT (-73.98794223689625 40.6636732354999),-73.98794223689625,40.6636732354999,38
214,"POLYGON ((-73.99291181390271 40.667545361767026, -73.98285692176978 40.66745721719116, -73.98274056505845 40.67511344877189, -73.99279660695068 40.67520161702301, -73.99291181390271 40.667545361767026))",POINT (-73.98782647730476 40.6713294841667),-73.98782647730476,40.6713294841667,39
215,"POLYGON ((-73.99279660695068 40.67520161702301, -73.98274056505845 40.67511344877189, -73.98262416362539 40.68276966989173, -73.99268135571864 40.68285786182345, -73.99279660695068 40.67520161702301))",POINT (-73.98771067322207 40.67898572237552),-73.98771067322207,40.67898572237552,40
216,"POLYGON ((-73.99268135571864 40.68285786182345, -73.98262416362539 40.68276966989173, -73.98250771745113 40.69042588055013, -73.99256606018739 40.690514096167824, -73.99268135571864 40.68285786182345))",POINT (-73.98759482462887 40.68664195012588),-73.98759482462887,40.68664195012588,41
217,"POLYGON ((-73.99256606018739 40.690514096167824, -73.98250771745113 40.69042588055013, -73.98239122651623 40.69808208074657, -73.99245072033759 40.698170320055574, -73.99256606018739 40.690514096167824))",POINT (-73.98747893150575 40.69429816741722),-73.98747893150575,40.69429816741722,42
218,"POLYGON ((-73.99245072033759 40.698170320055574, -73.98239122651623 40.69808208074657, -73.98227469080119 40.705738270480516, -73.99233533614999 40.70582653348621, -73.99245072033759 40.698170320055574))",POINT (-73.98736299383337 40.70195437424903),-73.98736299383337,40.70195437424903,43
219,"POLYGON ((-73.99233533614999 40.70582653348621, -73.98227469080119 40.705738270480516, -73.98215811028649 40.71339444975145, -73.99221990760525 40.71348273645918, -73.99233533614999 40.70582653348621))",POINT (-73.98724701159229 40.709610570620754),-73.98724701159229,40.709610570620754,44
220,"POLYGON ((-73.99221990760525 40.71348273645918, -73.98215811028649 40.71339444975145, -73.98204148495266 40.721050618558806, -73.99210443468407 40.72113892897395, -73.99221990760525 40.71348273645918))",POINT (-73.98713098476313 40.71726675653186),-73.98713098476313,40.71726675653186,45
221,"POLYGON ((-73.99210443468407 40.72113892897395, -73.98204148495266 40.721050618558806, -73.98192481478016 40.7287067769021, -73.99198891736712 40.72879511103001, -73.99210443468407 40.72113892897395))",POINT (-73.98701491332642 40.72492293198186),-73.98701491332642,40.72492293198186,46
222,"POLYGON ((-73.99198891736712 40.72879511103001, -73.98192481478016 40.7287067769021, -73.98180809974944 40.736362924780785, -73.99187335563506 40.73645128262683, -73.99198891736712 40.72879511103001))",POINT (-73.98689879726281 40.73257909697019),-73.98689879726281,40.73257909697019,47
223,"POLYGON ((-73.99187335563506 40.73645128262683, -73.98180809974944 40.736362924780785, -73.98169133984096 40.74401906219432, -73.99175774946855 40.74410744376388, -73.99187335563506 40.73645128262683))",POINT (-73.9867826365528 40.74023525149635),-73.9867826365528,40.74023525149635,48
224,"POLYGON ((-73.99175774946855 40.74410744376388, -73.98169133984096 40.74401906219432, -73.98157453503518 40.75167518914219, -73.99164209884817 40.75176359444064, -73.99175774946855 40.74410744376388))",POINT (-73.98666643117696 40.747891395559776),-73.98666643117696,40.747891395559776,49
225,"POLYGON ((-73.99164209884817 40.75176359444064, -73.98157453503518 40.75167518914219, -73.98145768531252 40.75933130562389, -73.9915264037546 40.7594197346566, -73.99164209884817 40.75176359444064))",POINT (-73.9865501811158 40.75554752915999),-73.9865501811158,40.75554752915999,50
226,"POLYGON ((-73.9915264037546 40.7594197346566, -73.98145768531252 40.75933130562389, -73.98134079065338 40.76698741163884, -73.99141066416844 40.7670758644112, -73.9915264037546 40.7594197346566))",POINT (-73.98643388634983 40.76320365229642),-73.98643388634983,40.76320365229642,51
227,"POLYGON ((-73.99141066416844 40.7670758644112, -73.98134079065338 40.76698741163884, -73.98122385103817 40.77464350718655, -73.99129488007024 40.77473198370396, -73.99141066416844 40.7670758644112))",POINT (-73.98631754685964 40.77085976496858),-73.98631754685964,40.77085976496858,52
228,"POLYGON ((-73.99129488007024 40.77473198370396, -73.98122385103817 40.77464350718655, -73.98110686644729 40.78229959226651, -73.99117905144064 40.78238809253431, -73.99129488007024 40.77473198370396))",POINT (-73.98620116262559 40.778515867175926),-73.98620116262559,40.778515867175926,53
229,"POLYGON ((-73.99117905144064 40.78238809253431, -73.98110686644729 40.78229959226651, -73.98098983686111 40.78995566687817, -73.99106317826019 40.790044190901796, -73.99117905144064 40.78238809253431))",POINT (-73.98608473362825 40.78617195891793),-73.98608473362825,40.78617195891793,54
240,"POLYGON ((-73.98332190178664 40.636832186269906, -73.97327164890189 40.636743261859124, -73.97315432290826 40.64439951138937, -73.98320572376785 40.6444884596889, -73.98332190178664 40.636832186269906))",POINT (-73.9782383997316 40.64061592770131),-73.9782383997316,40.64061592770131,55
241,"POLYGON ((-73.98320572376785 40.6444884596889, -73.97315432290826 40.64439951138937, -73.97303695182967 40.65205575045547, -73.98308950110506 40.65214472264913, -73.98320572376785 40.6444884596889))",POINT (-73.97812162529257 40.64827218396477),-73.97812162529257,40.64827218396477,56
242,"POLYGON ((-73.98308950110506 40.65214472264913, -73.97303695182967 40.65205575045547, -73.9729195356465 40.659711979056866, -73.98297323377884 40.659800975150056, -73.98308950110506 40.65214472264913))",POINT (-73.97800480597932 40.65592842976652),-73.97800480597932,40.65592842976652,57
243,"POLYGON ((-73.98297323377884 40.659800975150056, -73.9729195356465 40.659711979056866, -73.97280207433913 40.667368197193035, -73.98285692176978 40.66745721719116, -73.98297323377884 40.659800975150056))",POINT (-73.97788794177231 40.663584665105994),-73.97788794177231,40.663584665105994,58
